target,discovered,wrong letters,number of hits,lives remaining,game won
enumerations,"['e', 'n', 'u', 'm', 'e', 'r', 'a', 't', 'i', 'o', 'n', 's']","['l', 'c', 'p', 'd', 'g']",12,5,True
teeter,"['t', 'e', 'e', 't', 'e', 'r']","['s', 'a', 'i', 'o', 'd', 'u']",6,4,True
congregation,"['c', 'o', 'n', 'g', 'r', 'e', 'g', 'a', 't', 'i', 'o', 'n']","['s', 'l']",12,8,True
barley,"['b', 'a', 'r', 'l', 'e', 'y']","['s', 'd', 'i', 'o', 't', 'u', 'n']",6,3,True
burliness,"['b', 'u', 'r', 'l', 'i', 'n', 'e', 's', 's']","['a', 'o', 't', 'd', 'g', 'c', 'p']",9,3,True
accumulates,"['a', 'c', 'c', 'u', 'm', 'u', 'l', 'a', 't', 'e', 's']","['i', 'r', 'n', 'o', 'd', 'y', 'k']",11,3,True
polyps,"['p', 'o', 'l', 'y', 'p', 's']","['e', 'a', 'i', 'u', 'r', 'c', 't']",6,3,True
grimmest,"['_', 'r', 'i', 'm', 'm', 'e', 's', 't']","['a', 'n', 'o', 'l', 'd', 'u', 'h', 'p', 'c', 'f']",7,0,False
statutes,"['s', 't', 'a', 't', 'u', 't', 'e', 's']","['i', 'r', 'o', 'l', 'n', 'c', 'd']",8,3,True
lyricists,"['l', 'y', 'r', 'i', 'c', 'i', 's', 't', 's']","['e', 'a', 'o', 'n', 'u', 'h', 'm']",9,3,True
psychedelics,"['p', 's', 'y', 'c', 'h', 'e', 'd', 'e', 'l', 'i', 'c', 's']","['a', 'n', 'o', 'r', 't', 'u', 'm']",12,3,True
hallelujah,"['h', 'a', 'l', 'l', 'e', 'l', 'u', 'j', 'a', 'h']","['s', 'i', 'r', 'n', 't', 'o', 'c', 'd']",10,2,True
reaming,"['r', 'e', 'a', 'm', 'i', 'n', 'g']","['s', 'l', 't', 'd', 'o', 'c', 'p']",7,3,True
treasuries,"['t', 'r', 'e', 'a', 's', 'u', 'r', 'i', 'e', 's']","['n', 'o', 'l', 'c', 'd', 'p']",10,4,True
exuberantly,"['e', '_', 'u', 'b', 'e', 'r', 'a', 'n', 't', 'l', 'y']","['s', 'i', 'o', 'd', 'c', 'p', 'f', 'g', 'v', 'k']",10,0,False
exonerates,"['e', '_', 'o', 'n', 'e', 'r', 'a', 't', 'e', 's']","['i', 'l', 'd', 'c', 'p', 'u', 'm', 'h', 'g', 'b']",9,0,False
