target,discovered,wrong letters,number of hits,lives remaining,game won
sidelong,"['_', 'i', 'd', 'e', 'l', 'o', 'n', 'g']","['a', 'b', 'c', 'f', 'h', 'j', 'k', 'm', 'p', 'q']",7,0,False
introduction,"['i', '_', '_', '_', '_', 'd', '_', 'c', '_', 'i', '_', '_']","['a', 'b', 'e', 'f', 'g', 'h', 'j', 'k', 'l', 'm']",4,0,False
inkwell,"['i', 'n', 'k', '_', 'e', 'l', 'l']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'm', 'o']",6,0,False
erupt,"['e', '_', '_', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
systemics,"['_', '_', '_', '_', 'e', 'm', 'i', 'c', '_']","['a', 'b', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'n']",4,0,False
solicitude,"['_', 'o', 'l', 'i', 'c', 'i', '_', '_', 'd', 'e']","['a', 'b', 'f', 'g', 'h', 'j', 'k', 'm', 'n', 'p']",7,0,False
broadened,"['b', '_', 'o', 'a', 'd', 'e', 'n', 'e', 'd']","['c', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'p']",8,0,False
harpooning,"['h', 'a', '_', 'p', 'o', 'o', 'n', 'i', 'n', 'g']","['b', 'c', 'd', 'e', 'f', 'j', 'k', 'l', 'm', 'q']",9,0,False
chroming,"['c', 'h', '_', 'o', 'm', 'i', 'n', 'g']","['a', 'b', 'd', 'e', 'f', 'j', 'k', 'l', 'p', 'q']",7,0,False
rebroadcasting,"['r', 'e', 'b', 'r', 'o', 'a', 'd', 'c', 'a', 's', 't', 'i', 'n', 'g']","['f', 'h', 'j', 'k', 'l', 'm', 'p', 'q']",14,2,True
quitting,"['_', '_', 'i', '_', '_', 'i', '_', 'g']","['a', 'b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'l']",3,0,False
waterfalls,"['_', 'a', '_', 'e', '_', 'f', 'a', 'l', 'l', '_']","['b', 'c', 'd', 'g', 'h', 'i', 'j', 'k', 'm', 'n']",6,0,False
licentious,"['l', 'i', 'c', 'e', 'n', '_', 'i', 'o', '_', '_']","['a', 'b', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'p']",7,0,False
goblets,"['g', '_', 'b', 'l', 'e', '_', '_']","['a', 'c', 'd', 'f', 'h', 'i', 'j', 'k', 'm', 'n']",4,0,False
won,"['_', '_', '_']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j']",0,0,False
awol,"['a', '_', '_', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
