target,discovered,wrong letters,number of hits,lives remaining,game won
exultant,"['_', 'x', 'u', '_', 't', '_', 'n', 't']","['z', 'y', 'w', 'v', 's', 'r', 'q', 'p', 'o', 'm']",5,0,False
shrikes,"['s', '_', 'r', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'o']",3,0,False
consolidate,"['_', 'o', 'n', 's', 'o', '_', '_', '_', '_', 't', '_']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'm']",5,0,False
slick,"['s', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
amethyst,"['_', '_', '_', 't', '_', 'y', 's', 't']","['z', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'o', 'n']",4,0,False
innocents,"['_', 'n', 'n', 'o', '_', '_', 'n', 't', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'm']",6,0,False
ticket,"['t', '_', '_', '_', '_', 't']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",2,0,False
repeal,"['r', '_', 'p', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'o']",2,0,False
abattoir,"['_', '_', '_', 't', 't', 'o', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'n']",4,0,False
virile,"['v', '_', 'r', '_', '_', '_']","['z', 'y', 'x', 'w', 'u', 't', 's', 'q', 'p', 'o']",2,0,False
despair,"['_', '_', 's', 'p', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'o', 'n']",3,0,False
confides,"['_', '_', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
poets,"['p', 'o', '_', 't', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'n', 'm']",4,0,False
remunerates,"['r', '_', 'm', 'u', 'n', '_', 'r', '_', 't', '_', 's']","['z', 'y', 'x', 'w', 'v', 'q', 'p', 'o', 'l', 'k']",7,0,False
tiara,"['t', '_', '_', 'r', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'o']",2,0,False
sequins,"['s', '_', 'q', 'u', '_', 'n', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'p', 'o', 'm']",5,0,False
catalytic,"['_', '_', 't', '_', '_', 'y', 't', '_', '_']","['z', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p', 'o']",3,0,False
drench,"['_', 'r', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
delimiting,"['_', '_', '_', '_', '_', '_', 't', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
suggested,"['s', 'u', '_', '_', '_', 's', 't', '_', '_']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'p', 'o', 'n']",4,0,False
autonomously,"['_', 'u', 't', 'o', 'n', 'o', 'm', 'o', 'u', 's', 'l', 'y']","['z', 'x', 'w', 'v', 'r', 'q', 'p', 'k', 'j', 'i']",11,0,False
spokesmen,"['s', 'p', 'o', '_', '_', 's', 'm', '_', 'n']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'l']",6,0,False
reformatories,"['r', '_', '_', 'o', 'r', 'm', '_', 't', 'o', 'r', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'n', 'l']",8,0,False
nimbuses,"['_', '_', '_', '_', 'u', 's', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'o']",3,0,False
tale,"['t', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
nonesuches,"['n', 'o', 'n', '_', 's', 'u', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'm']",6,0,False
larvas,"['_', '_', 'r', 'v', '_', 's']","['z', 'y', 'x', 'w', 'u', 't', 'q', 'p', 'o', 'n']",3,0,False
stereotypes,"['s', 't', '_', 'r', '_', 'o', 't', 'y', 'p', '_', 's']","['z', 'x', 'w', 'v', 'u', 'q', 'n', 'm', 'l', 'k']",8,0,False
boosters,"['_', 'o', 'o', 's', 't', '_', 'r', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'n', 'm']",6,0,False
pinning,"['_', '_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q']",0,0,False
sweat,"['s', 'w', '_', '_', 't']","['z', 'y', 'x', 'v', 'u', 'r', 'q', 'p', 'o', 'n']",3,0,False
lambs,"['_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
despot,"['_', '_', 's', 'p', 'o', 't']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'n', 'm']",4,0,False
whatchamacallits,"['w', '_', '_', 't', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 't', 's']","['z', 'y', 'x', 'v', 'u', 'r', 'q', 'p', 'o', 'n']",4,0,False
sloppiness,"['s', '_', 'o', 'p', 'p', '_', 'n', '_', 's', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'm']",7,0,False
sublimes,"['s', 'u', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'o']",3,0,False
thous,"['t', '_', 'o', 'u', 's']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'p', 'n', 'm']",4,0,False
lax,"['_', '_', 'x']","['z', 'y', 'w', 'v', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
ballrooms,"['_', '_', '_', '_', 'r', 'o', 'o', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'n']",4,0,False
kibosh,"['_', '_', '_', '_', 's', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
escrows,"['_', 's', '_', 'r', 'o', 'w', 's']","['z', 'y', 'x', 'v', 'u', 't', 'q', 'p', 'n', 'm']",5,0,False
whoa,"['w', '_', '_', '_']","['z', 'y', 'x', 'v', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
benighted,"['_', '_', '_', '_', '_', '_', 't', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
corn,"['_', '_', 'r', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
trumped,"['t', 'r', 'u', 'm', 'p', '_', '_']","['z', 'y', 'x', 'w', 'v', 's', 'q', 'o', 'n', 'l']",5,0,False
outwardly,"['o', 'u', 't', 'w', '_', 'r', '_', 'l', 'y']","['z', 'x', 'v', 's', 'q', 'p', 'n', 'm', 'k', 'j']",7,0,False
censusing,"['_', '_', '_', 's', 'u', 's', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'o']",3,0,False
disquiets,"['_', '_', 's', 'q', 'u', '_', '_', 't', 's']","['z', 'y', 'x', 'w', 'v', 'r', 'p', 'o', 'n', 'm']",5,0,False
resets,"['r', '_', 's', '_', 't', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'o', 'n']",4,0,False
offings,"['_', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
girts,"['_', '_', 'r', 't', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'o', 'n']",3,0,False
bier,"['_', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
jumbled,"['_', 'u', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 's', 'r', 'q', 'p']",1,0,False
vying,"['v', 'y', '_', '_', '_']","['z', 'x', 'w', 'u', 't', 's', 'r', 'q', 'p', 'o']",2,0,False
vulgarer,"['v', 'u', '_', '_', '_', 'r', '_', 'r']","['z', 'y', 'x', 'w', 't', 's', 'q', 'p', 'o', 'n']",4,0,False
envision,"['_', 'n', 'v', '_', 's', '_', 'o', 'n']","['z', 'y', 'x', 'w', 'u', 't', 'r', 'q', 'p', 'm']",5,0,False
bareback,"['_', '_', 'r', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
liniment,"['_', '_', '_', '_', '_', '_', '_', 't']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
expand,"['_', 'x', 'p', '_', '_', '_']","['z', 'y', 'w', 'v', 'u', 't', 's', 'r', 'q', 'o']",2,0,False
disproportionately,"['_', 'i', 's', 'p', 'r', 'o', 'p', 'o', 'r', 't', 'i', 'o', 'n', '_', 't', '_', 'l', 'y']","['z', 'x', 'w', 'v', 'u', 'q', 'm', 'k', 'j', 'h']",15,0,False
measuring,"['m', '_', '_', 's', 'u', 'r', '_', 'n', '_']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'p', 'o', 'l']",5,0,False
gearshift,"['_', '_', '_', 'r', 's', '_', '_', '_', 't']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'o', 'n']",3,0,False
keening,"['_', '_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q']",0,0,False
mailboxes,"['_', '_', '_', '_', '_', 'o', 'x', '_', 's']","['z', 'y', 'w', 'v', 'u', 't', 'r', 'q', 'p', 'n']",3,0,False
doming,"['_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q']",0,0,False
snowboarded,"['s', 'n', 'o', 'w', '_', 'o', '_', 'r', '_', '_', '_']","['z', 'y', 'x', 'v', 'u', 't', 'q', 'p', 'm', 'l']",6,0,False
dullness,"['_', 'u', '_', '_', '_', '_', 's', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'o']",3,0,False
discusses,"['_', '_', 's', '_', 'u', 's', 's', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'o']",5,0,False
scurviest,"['s', '_', 'u', 'r', 'v', '_', '_', 's', 't']","['z', 'y', 'x', 'w', 'q', 'p', 'o', 'n', 'm', 'l']",6,0,False
market,"['_', '_', 'r', '_', '_', 't']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'o']",2,0,False
development,"['_', '_', 'v', '_', 'l', 'o', 'p', 'm', '_', 'n', 't']","['z', 'y', 'x', 'w', 'u', 's', 'r', 'q', 'k', 'j']",7,0,False
barrooms,"['_', '_', 'r', 'r', 'o', 'o', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'n']",5,0,False
birdhouses,"['_', '_', 'r', '_', '_', 'o', 'u', 's', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'p', 'n', 'm']",5,0,False
elides,"['_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
permitted,"['p', '_', 'r', '_', '_', 't', 't', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'o', 'n']",4,0,False
studding,"['s', 't', 'u', '_', '_', '_', 'n', '_']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'p', 'o', 'm']",4,0,False
inflammations,"['_', 'n', '_', 'l', '_', 'm', 'm', '_', 't', '_', 'o', 'n', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'k']",8,0,False
lapsed,"['_', '_', 'p', 's', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'o']",2,0,False
pegs,"['p', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'o']",2,0,False
hustles,"['_', 'u', 's', 't', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'p', 'o', 'n']",4,0,False
suburbanite,"['s', 'u', '_', 'u', 'r', '_', '_', 'n', '_', 't', '_']","['z', 'y', 'x', 'w', 'v', 'q', 'p', 'o', 'm', 'l']",6,0,False
investing,"['_', 'n', 'v', '_', 's', 't', '_', 'n', '_']","['z', 'y', 'x', 'w', 'u', 'r', 'q', 'p', 'o', 'm']",5,0,False
autobiography,"['_', 'u', 't', 'o', '_', '_', 'o', '_', 'r', '_', 'p', '_', 'y']","['z', 'x', 'w', 'v', 's', 'q', 'n', 'm', 'l', 'k']",7,0,False
televisions,"['t', '_', 'l', '_', 'v', '_', 's', '_', 'o', 'n', 's']","['z', 'y', 'x', 'w', 'u', 'r', 'q', 'p', 'm', 'k']",7,0,False
rummage,"['r', 'u', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 's', 'q', 'p', 'o']",2,0,False
dermatitis,"['_', '_', 'r', '_', '_', 't', '_', 't', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'o', 'n']",4,0,False
jumpiest,"['_', 'u', 'm', 'p', '_', '_', 's', 't']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'o', 'n', 'l']",5,0,False
comely,"['_', '_', '_', '_', '_', 'y']","['z', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
randomise,"['r', '_', 'n', '_', 'o', 'm', '_', 's', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'l']",5,0,False
hyphening,"['_', 'y', 'p', '_', '_', '_', '_', '_', '_']","['z', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q', 'o']",2,0,False
apprenticed,"['_', 'p', 'p', 'r', '_', 'n', 't', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'o', 'm']",5,0,False
lather,"['_', '_', 't', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'o']",2,0,False
prototyping,"['p', 'r', 'o', 't', 'o', 't', 'y', 'p', '_', 'n', '_']","['z', 'x', 'w', 'v', 'u', 's', 'q', 'm', 'l', 'k']",9,0,False
cullender,"['_', 'u', '_', '_', '_', '_', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 't', 's', 'q', 'p', 'o']",2,0,False
ambled,"['_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q']",0,0,False
oinks,"['_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
nationalists,"['n', '_', 't', '_', 'o', 'n', '_', '_', '_', 's', 't', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'm']",7,0,False
evidencing,"['_', 'v', '_', '_', '_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
misunderstands,"['m', '_', 's', 'u', 'n', '_', '_', 'r', 's', 't', '_', 'n', '_', 's']","['z', 'y', 'x', 'w', 'v', 'q', 'p', 'o', 'l', 'k']",9,0,False
enables,"['_', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
ate,"['_', 't', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
confrontation,"['_', 'o', 'n', '_', 'r', 'o', 'n', 't', '_', 't', '_', 'o', 'n']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'm']",9,0,False
