target,discovered,wrong letters,number of hits,lives remaining,game won
bereave,"['_', 'e', 'r', 'e', 'a', '_', 'e']","['t', 'o', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm']",5,0,False
colloquialism,"['c', 'o', 'l', 'l', 'o', '_', 'u', 'i', 'a', 'l', 'i', 's', 'm']","['e', 't', 'h', 'n', 'r', 'd', 'w', 'y', 'f', 'g']",12,0,False
extrovert,"['e', '_', 't', 'r', 'o', '_', 'e', 'r', 't']","['a', 'i', 'h', 'n', 's', 'd', 'l', 'u', 'm', 'w']",7,0,False
clippings,"['_', 'l', 'i', '_', '_', 'i', 'n', '_', 's']","['e', 't', 'a', 'o', 'h', 'r', 'd', 'u', 'm', 'w']",5,0,False
stink,"['s', 't', 'i', 'n', '_']","['e', 'a', 'o', 'h', 'r', 'd', 'l', 'u', 'm', 'w']",4,0,False
immensities,"['i', 'm', 'm', 'e', 'n', 's', 'i', 't', 'i', 'e', 's']","['a', 'o', 'h', 'r', 'd', 'l', 'u']",11,3,True
sol,"['s', 'o', 'l']","['e', 't', 'a', 'i', 'h', 'n', 'r', 'd']",3,2,True
verging,"['_', 'e', 'r', '_', 'i', 'n', '_']","['t', 'a', 'o', 'h', 's', 'd', 'l', 'u', 'm', 'w']",4,0,False
volumes,"['_', 'o', 'l', 'u', 'm', 'e', 's']","['t', 'a', 'i', 'h', 'n', 'r', 'd', 'w', 'c', 'y']",6,0,False
pended,"['_', 'e', 'n', 'd', 'e', 'd']","['t', 'a', 'o', 'i', 'h', 's', 'r', 'l', 'u', 'm']",5,0,False
bickering,"['_', 'i', '_', '_', 'e', 'r', 'i', 'n', '_']","['t', 'a', 'o', 'h', 's', 'd', 'l', 'u', 'm', 'w']",5,0,False
besots,"['_', 'e', 's', 'o', 't', 's']","['a', 'i', 'h', 'n', 'r', 'd', 'l', 'u', 'm', 'w']",5,0,False
disadvantageously,"['d', 'i', 's', 'a', 'd', 'v', 'a', 'n', 't', 'a', 'g', 'e', 'o', 'u', 's', 'l', 'y']","['h', 'r', 'm', 'w', 'c', 'f', 'p', 'b']",17,2,True
mimes,"['m', 'i', 'm', 'e', 's']","['t', 'a', 'o', 'h', 'n', 'r', 'd', 'l', 'u']",5,1,True
nag,"['n', 'a', '_']","['e', 't', 'o', 'i', 'h', 's', 'r', 'd', 'l', 'u']",2,0,False
parleying,"['_', 'a', 'r', 'l', 'e', 'y', 'i', 'n', '_']","['t', 'o', 'h', 's', 'd', 'u', 'm', 'w', 'c', 'f']",7,0,False
disbursement,"['d', 'i', 's', '_', 'u', 'r', 's', 'e', 'm', 'e', 'n', 't']","['a', 'o', 'h', 'l', 'w', 'c', 'y', 'f', 'g', 'p']",11,0,False
unwavering,"['u', 'n', 'w', 'a', '_', 'e', 'r', 'i', 'n', '_']","['t', 'o', 'h', 's', 'd', 'l', 'm', 'c', 'y', 'f']",8,0,False
perambulators,"['p', 'e', 'r', 'a', 'm', 'b', 'u', 'l', 'a', 't', 'o', 'r', 's']","['i', 'h', 'n', 'd', 'w', 'c', 'y', 'f', 'g']",13,1,True
chiropody,"['c', 'h', 'i', 'r', 'o', '_', 'o', 'd', 'y']","['e', 't', 'a', 'n', 's', 'l', 'u', 'm', 'w', 'f']",8,0,False
mendacious,"['m', 'e', 'n', 'd', 'a', 'c', 'i', 'o', 'u', 's']","['t', 'h', 'r', 'l', 'w']",10,5,True
homeless,"['h', 'o', 'm', 'e', 'l', 'e', 's', 's']","['t', 'a', 'i', 'n', 'r', 'd', 'u']",8,3,True
throe,"['t', 'h', 'r', 'o', 'e']","['a', 'i', 'n', 's']",5,6,True
runes,"['r', 'u', 'n', 'e', 's']","['t', 'a', 'o', 'i', 'h', 'd', 'l']",5,3,True
prosaic,"['_', 'r', 'o', 's', 'a', 'i', 'c']","['e', 't', 'h', 'n', 'd', 'l', 'u', 'm', 'w', 'y']",6,0,False
grasp,"['_', 'r', 'a', 's', '_']","['e', 't', 'o', 'i', 'h', 'n', 'd', 'l', 'u', 'm']",3,0,False
lamentations,"['l', 'a', 'm', 'e', 'n', 't', 'a', 't', 'i', 'o', 'n', 's']","['h', 'r', 'd', 'u']",12,6,True
